Date,Close,High,Low,Open,Volume,MA20,MA50,EMA20,EMA50,RSI,OBV,Fib23,Fib38,Fib50,Fib61,OilPrice,USDINR,SP500,NewsSentiment
2023-07-11,802.2527465820312,815.6852604691176,800.8413461228718,809.3583461576029,50670426,802.0009155273438,796.8274731445313,805.6644898999347,797.944144140481,59.29545919649947,589122782,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,74.83000183105469,82.52529907226562,4439.259765625,0.17771599999999999
2023-07-12,794.7334594726562,810.9644765133695,791.9107178120092,805.6352319869237,70958358,802.7175598144531,796.48513671875,804.623439383051,797.8182349378093,49.36100593934849,518164424,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,75.75,82.39990234375,4472.16015625,0.17771599999999999
2023-07-13,798.699951171875,806.6572510904781,797.2155953198356,806.2922367876993,41913546,803.6751129150391,796.1653527832032,804.0592976486533,797.8528120450306,49.39757943882871,560077970,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,76.88999938964844,82.00180053710938,4510.0400390625,0.17771599999999999
2023-07-14,800.3546752929688,804.7835035114284,795.7311609024043,804.7835035114284,24727214,805.1947875976563,795.5452124023437,803.7064764719215,797.9509243292721,50.237166166237024,584805184,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,75.41999816894531,82.03079986572266,4505.419921875,0.17771599999999999
2023-07-17,817.0966796875,818.6053935606003,794.7577929158504,803.0314502823962,49252928,807.0478424072265,796.242939453125,804.9817339210243,798.7017382649518,59.13594323280986,634058112,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,74.1500015258789,82.07679748535156,4522.7900390625,0.17771599999999999
2023-07-18,816.415283203125,829.3124545920268,812.7651403572094,826.3923403152943,81076818,808.8327575683594,796.7461181640625,806.0706433764625,799.3963870861126,54.38311877168206,552981294,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,75.75,82.06159973144531,4554.97998046875,0.17771599999999999
2023-07-19,820.1141357421875,821.8905505906512,815.1986216073076,818.1673927652148,32935134,810.7210998535156,797.3227941894531,807.4081188398649,800.2088478177861,52.175997043583365,585916428,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,75.3499984741211,82.07540130615234,4565.72021484375,0.17771599999999999
2023-07-20,821.8905639648438,823.4722926593728,817.6320636334198,818.1917641303833,56210948,812.0144714355469,797.8618603515625,808.7873993279582,801.0591111961653,46.5634452152476,642127376,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,75.62999725341797,82.06169891357422,4534.8701171875,0.17771599999999999
2023-07-21,815.5635986328125,822.4015567907909,814.3468843278255,817.6320129512904,42154248,812.7968170166016,798.2638012695312,809.4327516427063,801.627914625094,37.671372312271416,599973128,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,77.06999969482422,82.0823974609375,4536.33984375,0.17771599999999999
2023-07-24,816.8533325195312,819.8951183000274,812.813817239081,816.9019892100436,32179444,813.6460815429688,798.55103515625,810.1394736309753,802.2249898366815,35.598636959066695,632152572,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,78.73999786376953,81.99030303955078,4554.64013671875,0.17771599999999999
2023-07-25,825.7109985351562,826.879056170404,816.8533420034627,819.8951278192749,55992596,815.131689453125,798.9384350585938,811.622476002802,803.146009785702,58.55353660355677,688145168,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,79.62999725341797,81.81420135498047,4567.4599609375,0.17771599999999999
2023-07-26,822.8395385742188,827.1710534459679,821.5255108693627,827.1710534459679,24794358,815.9128204345703,799.3608776855468,812.6907676762704,803.9183050323594,55.59112594269217,663350810,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,78.77999877929688,81.95010375976562,4566.75,0.17771599999999999
2023-07-27,814.2982177734375,828.8257745170246,811.5240735457453,827.3170606790924,59741302,815.8398132324219,799.6986376953125,812.8438581617148,804.3253604339951,54.44711370221582,603609508,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,80.08999633789062,81.97550201416016,4537.41015625,0.17771599999999999
2023-07-28,799.8680419921875,812.2298721075693,798.6999842928814,808.6283856221597,41015684,814.430859375,799.6840380859375,811.6080661455693,804.1505636323454,46.169795909889075,562593824,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,80.58000183105469,82.3749008178711,4582.22998046875,0.17771599999999999
2023-07-31,803.615478515625,806.3409662159895,797.5319067020986,803.0558374366854,34565006,812.7615234375,799.7258935546874,810.8468673236698,804.1295799022768,50.829882150564494,597158830,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,81.80000305175781,82.25279998779297,4588.9599609375,0.17771599999999999
2023-08-01,808.993408203125,811.5241504025686,803.0315076162769,805.1972354940766,35394188,811.1566802978516,799.9322485351563,810.6703474074275,804.3203182670262,58.91663810665847,632553018,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,81.37000274658203,82.2332992553711,4576.72998046875,0.17771599999999999
